7DF,2 1 0 0 0 0 0 0
7DF,2 1 D 0 0 0 0 0
7DF,2 1 C 0 0 0 0 0
7E8,4 41 C 0 0 0 0 0
7DF,2 1 0 0 0 0 0 0
7E8,6 41 0 98 3B A0 13 0
7DF,2 1 0 0 0 0 0 0
7E8,6 41 0 98 3B A0 13 0
7DF,2 1 C 0 0 0 0 0
7E8,4 41 C 0 0 0 0 0
7DF,2 1 0 0 0 0 0 0
7E8,6 41 0 98 3B A0 13 0
7DF,2 1 20 0 0 0 0 0
7E8,6 41 20 B0 1B A0 15 0
7DF,2 1 40 0 0 0 0 0
7E8,6 41 40 CC D0 0 0 0
7DF,2 1 2F 0 0 0 0 0
7E8,3 41 2F 7C 0 0 0 0
7DF,2 1 5 0 0 0 0 0
7E8,3 41 5 27 0 0 0 0
7DF,2 1 B 0 0 0 0 0
7E8,3 41 B 66 0 0 0 0
7DF,2 1 10 0 0 0 0 0
7E8,4 41 10 0 45 0 0 0
7DF,2 1 D 0 0 0 0 0
7E8,3 41 D 0 0 0 0 0
7DF,2 1 4 0 0 0 0 0
7E8,3 41 4 0 0 0 0 0
7DF,2 1 33 0 0 0 0 0
7E8,3 41 33 64 0 0 0 0
7DF,6 41 24 0 0 0 0 0
7DF,2 1 24 0 0 0 0 0
7DF,2 1 34 0 0 0 0 0
7DF,2 1 31 0 0 0 0 0
7E8,4 41 31 2C F6 0 0 0
7DF,2 1 2F 0 0 0 0 0
7E8,3 41 2F 7C 0 0 0 0
7DF,2 1 5 0 0 0 0 0
7E8,3 41 5 27 0 0 0 0
7DF,2 1 F 0 0 0 0 0
7E8,3 41 F 29 0 0 0 0
7DF,2 1 46 0 0 0 0 0
7E8,3 41 46 28 0 0 0 0
7DF,2 1 70 0 0 0 0 0
7DF,2 1 66 0 0 0 0 0
7E1,2 21 30 0 0 0 0 0
7E1,22 31 FF B5 FF 4F 0 0
7E9,23 6 18 0 8 0 0 FF
7E1,30 0 0 0 0 0 0 0
7E9,10 1A 61 30 0 0 0 0
7DF,2 1 2F 0 0 0 0 0
7E8,3 41 2F 7C 0 0 0 0
7DF,3 41 5 27 0 0 0 0
7DF,2 1 5 0 0 0 0 0
7DF,3 41 B 66 0 0 0 0
7DF,2 1 B 0 0 0 0 0
7DF,4 41 10 0 45 0 0 0
7DF,2 1 10 0 0 0 0 0
7DF,2 1 D 0 0 0 0 0
7E8,3 41 D 0 0 0 0 0
7DF,2 1 4 0 0 0 0 0
7E8,3 41 4 0 0 0 0 0
7DF,3 41 33 64 0 0 0 0
7DF,2 1 33 0 0 0 0 0
7DF,2 1 24 0 0 0 0 0
7E8,6 41 24 0 0 0 0 0
7DF,2 1 34 0 0 0 0 0
7DF,2 1 31 0 0 0 0 0
7E8,4 41 31 2C F6 0 0 0
7DF,2 1 70 0 0 0 0 0
7E1,2 21 30 0 0 0 0 0
7E1,22 31 FF B5 FF 4F 0 0
7E9,23 6 18 0 8 0 0 FF
7E1,30 0 0 0 0 0 0 0
7E9,10 1A 61 30 0 0 0 0
7DF,2 1 B 0 0 0 0 0
7E8,3 41 B 66 0 0 0 0
7DF,2 1 10 0 0 0 0 0
7E8,4 41 10 0 45 0 0 0
7DF,2 1 D 0 0 0 0 0
7E8,3 41 D 0 0 0 0 0
7DF,3 41 4 0 0 0 0 0
7DF,2 1 4 0 0 0 0 0
7DF,3 41 33 64 0 0 0 0
7DF,2 1 33 0 0 0 0 0
7DF,6 41 24 0 0 0 0 0
7DF,2 1 24 0 0 0 0 0
7DF,4 41 31 2C F6 0 0 0
7DF,2 1 31 0 0 0 0 0
7E1,30 0 0 0 0 0 0 0
7E9,23 6 18 0 8 0 0 FF
7E9,22 31 FF B5 FF 4F 0 0
7E9,21 0 0 0 8 0 0 DD
7E1,2 21 30 0 0 0 0 0
7DF,2 1 B 0 0 0 0 0
7E8,3 41 B 66 0 0 0 0
7DF,2 1 10 0 0 0 0 0
7E8,4 41 10 0 45 0 0 0
7DF,2 1 D 0 0 0 0 0
7E8,3 41 D 0 0 0 0 0
7DF,2 1 4 0 0 0 0 0
7E8,3 41 4 0 0 0 0 0
7DF,6 41 24 0 0 0 0 0
7DF,2 1 24 0 0 0 0 0
7DF,2 1 31 0 0 0 0 0
7E8,4 41 31 2C F6 0 0 0
7E1,2 21 30 0 0 0 0 0
7E1,21 0 0 0 8 0 0 DD
7E9,23 6 18 0 8 0 0 FF
7E1,30 0 0 0 0 0 0 0
7E9,10 1A 61 30 0 0 0 0
7DF,2 1 D 0 0 0 0 0
7E8,3 41 D 0 0 0 0 0
7E1,2 21 30 0 0 0 0 0
7E1,21 0 0 0 8 0 0 DD
7E9,23 6 18 0 8 0 0 FF
7E1,30 0 0 0 0 0 0 0
7E9,10 1A 61 30 0 0 0 0
7DF,2 1 2F 0 0 0 0 0
7E8,3 41 2F 7C 0 0 0 0
7DF,2 1 5 0 0 0 0 0
7E8,3 41 5 27 0 0 0 0
7DF,2 1 B 0 0 0 0 0
7E8,3 41 B 66 0 0 0 0
7DF,4 41 10 0 45 0 0 0
7DF,2 1 10 0 0 0 0 0
7DF,2 1 D 0 0 0 0 0
7E8,3 41 D 0 0 0 0 0
7DF,3 41 4 0 0 0 0 0
7DF,2 1 4 0 0 0 0 0
7DF,2 1 24 0 0 0 0 0
7E8,6 41 24 0 0 0 0 0
7DF,2 1 31 0 0 0 0 0
7E8,4 41 31 2C F6 0 0 0
7E1,2 21 30 0 0 0 0 0
7E1,22 31 FF B5 FF 4F 0 0
7E9,23 6 18 0 8 0 0 FF
7E9,21 0 0 0 8 0 0 DD
7E1,30 0 0 0 0 0 0 0
7E9,10 1A 61 30 0 0 0 0
7DF,2 1 33 0 0 0 0 0
7E8,3 41 33 64 0 0 0 0
7DF,2 1 B 0 0 0 0 0
7E8,3 41 B 66 0 0 0 0
7DF,2 1 10 0 0 0 0 0
7E8,4 41 10 0 45 0 0 0
7DF,2 1 D 0 0 0 0 0
7E8,3 41 D 0 0 0 0 0
7DF,3 41 4 0 0 0 0 0
7DF,2 1 4 0 0 0 0 0
7DF,2 1 24 0 0 0 0 0
7E8,6 41 24 0 0 0 0 0
7DF,2 1 31 0 0 0 0 0
7E8,4 41 31 2C F6 0 0 0
7E1,2 21 30 0 0 0 0 0
